"region_country","year","total_ev_stock","yoy_change","yoy_percent"
"South Africa",2019,"2147.4405","518.1923","31.81"
"South Africa",2020,"2434.5866","287.1461","13.37"
"South Africa",2021,"2526.5968","92.0102","3.78"
"South Africa",2022,"3512.35217","985.75537","39.02"
"South Africa",2023,"7707.2269","4194.87473","119.43"
"South Africa",2024,"13334.3205","5627.0936","73.01"
"Spain",2010,"152.00804","0","0"
"Spain",2011,"890.0741","738.06606","485.54"
"Spain",2012,"6951.4975","6061.4234","681.00"
"Spain",2013,"9536.1646","2584.6671","37.18"
"Spain",2014,"12172.582","2636.4174","27.65"
"Spain",2015,"17203.219","5030.637","41.33"
"Spain",2016,"27022.343","9819.124","57.08"
"Spain",2017,"39640.3531","12618.0101","46.69"
"Spain",2018,"69467.43","29827.0769","75.24"
"Spain",2019,"108537.04884","39069.61884","56.24"
"Spain",2020,"200023.1832","91486.13436","84.29"
"Spain",2021,"302412.225","102389.0418","51.19"
"Spain",2022,"423436.624","121024.399","40.02"
"Spain",2023,"632180.62","208743.996","49.30"
"Spain",2024,"749723.90","117543.28","18.59"
"Sweden",2010,"8.001392","0","0"
"Sweden",2011,"378.0790","370.077608","4625.17"
"Sweden",2012,"2837.161","2459.0820","650.41"
"Sweden",2013,"4910.311","2073.150","73.07"
"Sweden",2014,"13832.50082","8922.18982","181.70"
"Sweden",2015,"25994.0019","12161.50108","87.92"
"Sweden",2016,"43655.358","17661.3561","67.94"
"Sweden",2017,"69512.0132","25856.6552","59.23"
"Sweden",2018,"106591.8879","37079.8747","53.34"
"Sweden",2019,"159681.385","53089.4971","49.81"
"Sweden",2020,"303881.321","144199.936","90.30"
"Sweden",2021,"476744.02","172862.699","56.88"
"Sweden",2022,"662506.25","185762.23","38.96"
"Sweden",2023,"832523.85","170017.60","25.66"
"Sweden",2024,"938970.3","106446.45","12.79"
"Switzerland",2011,"882.15","0","0"
"Switzerland",2012,"4526.928","3644.778","413.17"
"Switzerland",2013,"6659.080","2132.152","47.10"
"Switzerland",2014,"12233.415","5574.335","83.71"
"Switzerland",2015,"23613.77","11380.355","93.03"
"Switzerland",2016,"29880.831","6267.061","26.54"
"Switzerland",2017,"41081.673","11200.842","37.49"
"Switzerland",2018,"55564.01","14482.337","35.25"
"Switzerland",2019,"82224.73","26660.72","47.98"
"Switzerland",2020,"136390.79","54166.06","65.88"
"Switzerland",2021,"219345.01","82954.22","60.82"
"Switzerland",2022,"298865.81","79520.80","36.25"
"Switzerland",2023,"405242.8","106376.99","35.59"
"Switzerland",2024,"467912.7","62669.9","15.46"
"Thailand",2010,"8295.073171","0","0"
"Thailand",2011,"6582.04712","-1713.026051","-20.65"
"Thailand",2012,"4695.02681","-1887.02031","-28.67"
"Thailand",2013,"3269.01744","-1426.00937","-30.37"
"Thailand",2014,"2698.02655","-570.99089","-17.47"
"Thailand",2015,"2118.0158","-580.01075","-21.50"
"Thailand",2016,"1847.0154","-271.0004","-12.80"
"Thailand",2017,"1873.0266","26.0112","1.41"
"Thailand",2018,"18766.9409","16893.9143","901.96"
"Thailand",2019,"32650.172","13883.2311","73.98"
"Thailand",2020,"42311.373","9661.201","29.59"
"Thailand",2021,"57372.671","15061.298","35.60"
"Thailand",2022,"106303.155","48930.484","85.29"
"Thailand",2023,"307513.09","201209.935","189.28"
"Thailand",2024,"404815.68","97302.59","31.64"
"Turkiye",2012,"238.0591","0","0"
"Turkiye",2013,"581.08325","343.02415","144.09"
"Turkiye",2014,"2728.6757","2147.59245","369.58"
"Turkiye",2015,"4700.9538","1972.2781","72.28"
"Turkiye",2016,"10670.4532","5969.4994","126.98"
"Turkiye",2017,"18923.9419","8253.4887","77.35"
"Turkiye",2018,"24638.0436","5714.1017","30.20"
"Turkiye",2019,"32338.811","7700.7674","31.26"
"Turkiye",2020,"43155.375","10816.564","33.45"
"Turkiye",2021,"64195.804","21040.429","48.76"
"Turkiye",2022,"96017.6416","31821.8376","49.57"
"Turkiye",2023,"367220.9699","271203.3283","282.45"
"Turkiye",2024,"680813.4318","313592.4619","85.40"
"United Kingdom",2010,"9000.2463","0","0"
"United Kingdom",2011,"12235.082","3234.8357","35.94"
"United Kingdom",2012,"17045.071","4809.989","39.31"
"United Kingdom",2013,"23175.043","6129.972","35.96"
"United Kingdom",2014,"50566.087","27391.044","118.19"
"United Kingdom",2015,"93587.394","43021.307","85.08"
"United Kingdom",2016,"144993.125","51405.731","54.93"
"United Kingdom",2017,"202276.1317","57283.0067","39.51"
"United Kingdom",2018,"277061.068","74784.9363","36.97"
"United Kingdom",2019,"361361.051","84299.983","30.43"
"United Kingdom",2020,"642773.977","281412.926","77.88"
"United Kingdom",2021,"1115363.001","472589.024","73.52"
"United Kingdom",2022,"1454533.71","339170.709","30.41"
"United Kingdom",2023,"2231136.9","776603.19","53.39"
"United Kingdom",2024,"2968846.15","737709.25","33.06"
"USA",2010,"5509.469015","0","0"
"USA",2011,"44298.549954","38789.080939","704.04"
"USA",2012,"144033.2112753","99734.6613213","225.14"
"USA",2013,"289510.8863531","145477.6750778","101.00"
"USA",2014,"436783.3949703","147272.5086172","50.87"
"USA",2015,"558958.9336083","122175.5386380","27.97"
"USA",2016,"785366.310559","226407.3769507","40.51"
"USA",2017,"1022792.811247","237426.500688","30.23"
"USA",2018,"1572135.570903","549342.759656","53.71"
"USA",2019,"1895539.613558","323404.042655","20.57"
"USA",2020,"4370570.77516","2475031.161602","130.57"
"USA",2021,"6064550.549916","1693979.774756","38.76"
"USA",2022,"8465817.16094","2401266.611024","39.60"
"USA",2023,"12993886.83244","4528069.67150","53.49"
"USA",2024,"16433312.59946","3439425.76702","26.47"
"USA",2030,"27159801.81035","10726489.21089","65.27"
"Uzbekistan",2023,"20226.04","0","0"
"Uzbekistan",2024,"55207.97","34981.93","172.95"
"Viet Nam",2014,"2800.0488","0","0"
"Viet Nam",2015,"9800.144","7000.0952","250.00"
"Viet Nam",2016,"75001.196","65201.052","665.31"
"Viet Nam",2017,"124001.48","49000.284","65.33"
"Viet Nam",2018,"276009.0718","152007.5918","122.59"
"Viet Nam",2019,"550009.01018","273999.93838","99.27"
"Viet Nam",2020,"780011.20017","230002.18999","41.82"
"Viet Nam",2021,"1070185.58758","290174.38741","37.20"
"Viet Nam",2022,"1374751.65099","304566.06341","28.46"
"Viet Nam",2023,"1626069.7","251318.04901","18.28"
"Viet Nam",2024,"2035387.6","409317.9","25.17"
"World",2010,"142161.152971","0","0"
"World",2011,"281295.829966","139134.676995","97.87"
"World",2012,"4388077.050866","4106781.220900","1459.95"
"World",2013,"7101382.729692","2713305.678826","61.83"
"World",2014,"10740158.630378","3638775.900686","51.24"
"World",2015,"14451615.0705","3711456.440122","34.56"
"World",2016,"19713018.9339","5261403.8634","36.41"
"World",2017,"26152560.6288","6439541.6949","32.67"
"World",2018,"36021731.6984","9869171.0696","37.74"
"World",2019,"48137703.027","12115971.3286","33.64"
"World",2020,"125366304.718","77228601.691","160.43"
"World",2021,"170900365.972","45534061.254","36.32"
"World",2022,"208161506.944","37261140.972","21.80"
"World",2023,"279531119.230","71369612.286","34.29"
"World",2024,"348214273.038","68683153.808","24.57"
"World",2030,"512931466.14","164717193.102","47.30"
