"region_country","year","total_ev_stock"
"Czech Republic",2017,"390.14"
"Czech Republic",2018,"980.38"
"Czech Republic",2019,"1230.49"
"Czech Republic",2020,"5302.5"
"Czech Republic",2021,"6403.1"
"Czech Republic",2022,"7503.9"
"Czech Republic",2023,"12005.4"
"Czech Republic",2024,"15806.8"
"Denmark",2010,"104.2021"
"Denmark",2011,"986.5308"
"Denmark",2012,"4710.975"
"Denmark",2013,"4888.289"
"Denmark",2014,"8241.966"
"Denmark",2015,"18626.774"
"Denmark",2016,"19038.679"
"Denmark",2017,"19857.432"
"Denmark",2018,"28550.225"
"Denmark",2019,"46696.941"
"Denmark",2020,"106416.518"
"Denmark",2021,"230489.25"
"Denmark",2022,"304771.0"
"Denmark",2023,"443027.92"
"Denmark",2024,"634914.0"
"Estonia",2015,"34.16"
"Estonia",2016,"35.15"
"Estonia",2017,"46.18"
"Estonia",2018,"118.46"
"Estonia",2019,"97.36"
"Estonia",2020,"416.8"
"Estonia",2021,"723.2"
"Estonia",2022,"1165.4"
"Estonia",2023,"1968.8"
"Estonia",2024,"2610"
"EU27",2010,"12689.80293"
"EU27",2011,"47616.6914"
"EU27",2012,"117679.0549"
"EU27",2013,"207248.3587"
"EU27",2014,"296851.9768"
"EU27",2015,"497051.4554"
"EU27",2016,"723643.6133"
"EU27",2017,"1010887.7099"
"EU27",2018,"1402645.682"
"EU27",2019,"2071356.7287"
"EU27",2020,"3921967.301"
"EU27",2021,"6717996.031"
"EU27",2022,"9189953.132"
"EU27",2023,"12442534.07"
"EU27",2024,"14683605.45"
"Europe",2010,"32680.5350336"
"Europe",2011,"75981.3898391"
"Europe",2012,"163004.383272"
"Europe",2013,"272076.797909"
"Europe",2014,"436175.864012"
"Europe",2015,"736558.889487"
"Europe",2016,"1102820.880814"
"Europe",2017,"1562318.414818"
"Europe",2018,"2127429.81031"
"Europe",2019,"3030123.08814"
"Europe",2020,"10804570.01308"
"Europe",2021,"17943465.63858"
"Europe",2022,"24457131.49714"
"Europe",2023,"33611417.6788"
"Europe",2024,"40576385.8780"
"Europe",2030,"74097369.271"
"Finland",2011,"86.0269"
"Finland",2012,"572.008"
"Finland",2013,"1133.957"
"Finland",2014,"1943.905"
"Finland",2015,"3382.486"
"Finland",2016,"6139.848"
"Finland",2017,"12715.687"
"Finland",2018,"25419.941"
"Finland",2019,"45204.0553"
"Finland",2020,"82594.9181"
"Finland",2021,"143471.986"
"Finland",2022,"194880.369"
"Finland",2023,"297226.42"
"Finland",2024,"328507.09"
"France",2010,"2705.53096"
"France",2011,"10470.9045"
"France",2012,"29759.415"
"France",2013,"51336.289"
"France",2014,"71024.782"
"France",2015,"121252.9824"
"France",2016,"179413.7429"
"France",2017,"267699.537"
"France",2018,"349839.055"
"France",2019,"470192.344"
"France",2020,"799756.928"
"France",2021,"1291707.243"
"France",2022,"1713122.372"
"France",2023,"2448420.4"
"France",2024,"2707690.95"
"Germany",2010,"784.10448"
"Germany",2011,"4262.2004"
"Germany",2012,"13570.9075"
"Germany",2013,"25934.061"
"Germany",2014,"48748.656"
"Germany",2015,"82838.126"
"Germany",2016,"113584.685"
"Germany",2017,"195199.04"
"Germany",2018,"289475.35"
"Germany",2019,"427591.48"
"Germany",2020,"1105713.27"
"Germany",2021,"2094261.34"
"Germany",2022,"2950155.691"
"Germany",2023,"3522847.59"
"Germany",2024,"4052317.92"
"Greece",2012,"72.081"
"Greece",2013,"88.067468"
"Greece",2014,"322.13686"
"Greece",2015,"321.1295"
"Greece",2016,"498.1934"
"Greece",2017,"822.3318"
"Greece",2018,"1282.411"
"Greece",2019,"2184.767"
"Greece",2020,"6351.271"
"Greece",2021,"20296.728"
"Greece",2022,"34090.55"
"Greece",2023,"60325.59"
"Greece",2024,"73314.97"
"Hungary",2015,"135.17"
"Hungary",2016,"340.36"
"Hungary",2017,"1191"
"Hungary",2018,"2071.5"
"Hungary",2019,"2901.9"
"Hungary",2020,"6004.7"
"Hungary",2021,"8507"
"Hungary",2022,"9608.6"
"Hungary",2023,"11311"
"Hungary",2024,"14312"
"Iceland",2010,"75.2947"
"Iceland",2011,"67.3867"
"Iceland",2012,"131.699"
"Iceland",2013,"301.727"
"Iceland",2014,"563.81"
"Iceland",2015,"1347.77"
"Iceland",2016,"2832.36"
"Iceland",2017,"7084.95"
"Iceland",2018,"11882.10"
"Iceland",2019,"14548.33"
"Iceland",2020,"21238.5"
"Iceland",2021,"31933.7"
"Iceland",2022,"46683.8"
"Iceland",2023,"58896.8"
"Iceland",2024,"60985.6"
"India",2010,"81335.436684"
"India",2011,"102708.859845"
"India",2012,"363019.641587"
"India",2013,"423360.152942"
"India",2014,"494476.402267"
"India",2015,"262026.009199"
"India",2016,"315093.7720213"
"India",2017,"865951.486711"
"India",2018,"1643989.526726"
"India",2019,"2177247.05705"
"India",2020,"4699042.89690"
"India",2021,"6147362.96906"
"India",2022,"8654004.31094"
"India",2023,"12977565.94374"
"India",2024,"17888640.39386"
"India",2030,"56171897.4743"
"Indonesia",2011,"2.00034"
"Indonesia",2013,"2.00024"
